"REF_DATE","GEO","Educational.attainment.level","Age.group","Sex","UOM","VALUE"
2009,"Alberta","Bachelor's level","25 to 44 years","Both sexes","Percent",21
2009,"Alberta","Bachelor's level","25 to 44 years","Female","Percent",23.5
2009,"Alberta","Bachelor's level","25 to 44 years","Male","Percent",19
2009,"Alberta","Bachelor's level","45 to 64 years","Both sexes","Percent",14
2009,"Alberta","Bachelor's level","45 to 64 years","Female","Percent",14
2009,"Alberta","Bachelor's level","45 to 64 years","Male","Percent",14
2009,"Alberta","Bachelor's level","Total, 25 to 64 years","Both sexes","Percent",9
2009,"Alberta","Bachelor's level","Total, 25 to 64 years","Female","Percent",9.5
2009,"Alberta","Bachelor's level","Total, 25 to 64 years","Male","Percent",8.5
2009,"Alberta","Below upper secondary","25 to 44 years","Both sexes","Percent",9
2009,"Alberta","Below upper secondary","25 to 44 years","Female","Percent",7.5
2009,"Alberta","Below upper secondary","25 to 44 years","Male","Percent",10.5
2009,"Alberta","Below upper secondary","45 to 64 years","Both sexes","Percent",13
2009,"Alberta","Below upper secondary","45 to 64 years","Female","Percent",12.5
2009,"Alberta","Below upper secondary","45 to 64 years","Male","Percent",13.5
2009,"Alberta","Below upper secondary","Total, 25 to 64 years","Both sexes","Percent",5.5
2009,"Alberta","Below upper secondary","Total, 25 to 64 years","Female","Percent",5
2009,"Alberta","Below upper secondary","Total, 25 to 64 years","Male","Percent",6
2009,"Alberta","Lower secondary","25 to 44 years","Both sexes","Percent",7.5
2009,"Alberta","Lower secondary","25 to 44 years","Female","Percent",6.5
2009,"Alberta","Lower secondary","25 to 44 years","Male","Percent",8.5
2009,"Alberta","Lower secondary","45 to 64 years","Both sexes","Percent",10.5
2009,"Alberta","Lower secondary","45 to 64 years","Female","Percent",10
2009,"Alberta","Lower secondary","45 to 64 years","Male","Percent",10.5
2009,"Alberta","Lower secondary","Total, 25 to 64 years","Both sexes","Percent",4.5
2009,"Alberta","Lower secondary","Total, 25 to 64 years","Female","Percent",4
2009,"Alberta","Lower secondary","Total, 25 to 64 years","Male","Percent",5
2009,"Alberta","Master's or Doctoral level","25 to 44 years","Both sexes","Percent",6.5
2009,"Alberta","Master's or Doctoral level","25 to 44 years","Female","Percent",6.5
2009,"Alberta","Master's or Doctoral level","25 to 44 years","Male","Percent",7
2009,"Alberta","Master's or Doctoral level","45 to 64 years","Both sexes","Percent",6
2009,"Alberta","Master's or Doctoral level","45 to 64 years","Female","Percent",5.5
2009,"Alberta","Master's or Doctoral level","45 to 64 years","Male","Percent",6.5
