"REF_DATE","GEO","Persons.in.low.income","Low.income.lines","Statistics","UOM","SCALAR_FACTOR","VALUE","STATUS"
2009,"Canada","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",13.7,"B"
2009,"Canada","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.8,"C"
2009,"Canada","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"B"
2009,"Canada","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",12.6,"C"
2009,"Canada","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",13,"B"
2009,"Canada","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.9,"C"
2009,"Canada","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",12.8,"B"
2009,"Canada","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",8.9,"C"
2009,"Canada","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",14.4,"B"
2009,"Canada","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.7,"C"
2009,"Canada","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.8,"B"
2009,"Canada","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",15.6,"C"
2009,"Canada","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.3,"B"
2009,"Canada","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.9,"B"
2009,"Canada","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.8,"B"
2009,"Canada","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6.2,"D"
2009,"Canada","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6,"D"
2009,"Canada","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6.3,"D"
2009,"Canada","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",15.8,"C"
2009,"Canada","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",12.4,"C"
