REF_DATE,GEO,Gender,Group,Total_Value
2009,Alberta,Male,11 years and younger,275597
2009,Alberta,Male,12 to 17 years,145409
2009,Alberta,Male,18 to 24 years,201409
2009,Alberta,Male,25 to 44 years,588731
2009,Alberta,Male,45 to 64 years,488552
2009,Alberta,Male,65 to 74 years,99632
2009,Alberta,Male,75 years and older,72655
2009,Alberta,Total,11 years and younger,536797
2009,Alberta,Total,12 to 17 years,283706
2009,Alberta,Total,18 to 24 years,390248
2009,Alberta,Total,25 to 44 years,1131913
2009,Alberta,Total,45 to 64 years,953339
2009,Alberta,Total,65 to 74 years,206163
2009,Alberta,Total,75 years and older,176408
2009,Alberta,Female,11 years and younger,261200
2009,Alberta,Female,12 to 17 years,138297
2009,Alberta,Female,18 to 24 years,188839
2009,Alberta,Female,25 to 44 years,543182
2009,Alberta,Female,45 to 64 years,464787
2009,Alberta,Female,65 to 74 years,106531
2009,Alberta,Female,75 years and older,103753
2009,British Columbia,Male,11 years and younger,274024
2009,British Columbia,Male,12 to 17 years,166772
2009,British Columbia,Male,18 to 24 years,212868
2009,British Columbia,Male,25 to 44 years,607159
2009,British Columbia,Male,45 to 64 years,632687
2009,British Columbia,Male,65 to 74 years,168922
2009,British Columbia,Male,75 years and older,128364
2009,British Columbia,Total,11 years and younger,531755
2009,British Columbia,Total,12 to 17 years,319665
2009,British Columbia,Total,18 to 24 years,416249
2009,British Columbia,Total,25 to 44 years,1220437
2009,British Columbia,Total,45 to 64 years,1273629
2009,British Columbia,Total,65 to 74 years,345072
2009,British Columbia,Total,75 years and older,302920
2009,British Columbia,Female,11 years and younger,257731
2009,British Columbia,Female,12 to 17 years,152893
2009,British Columbia,Female,18 to 24 years,203381
2009,British Columbia,Female,25 to 44 years,613278
2009,British Columbia,Female,45 to 64 years,640942
2009,British Columbia,Female,65 to 74 years,176150
2009,British Columbia,Female,75 years and older,174556
2009,Canada,Male,11 years and younger,2250047
2009,Canada,Male,12 to 17 years,1312713
2009,Canada,Male,18 to 24 years,1639498
2009,Canada,Male,25 to 44 years,4677370
2009,Canada,Male,45 to 64 years,4726541
2009,Canada,Male,65 to 74 years,1189282
2009,Canada,Male,75 years and older,867880
2009,Canada,Total,11 years and younger,4384505
2009,Canada,Total,12 to 17 years,2563789
2009,Canada,Total,18 to 24 years,3218460
2009,Canada,Total,25 to 44 years,9319406
2009,Canada,Total,45 to 64 years,9475338
2009,Canada,Total,65 to 74 years,2491124
2009,Canada,Total,75 years and older,2172333
2009,Canada,Female,11 years and younger,2134458
2009,Canada,Female,12 to 17 years,1251076
2009,Canada,Female,18 to 24 years,1578962
2009,Canada,Female,25 to 44 years,4642036
2009,Canada,Female,45 to 64 years,4748797
2009,Canada,Female,65 to 74 years,1301842
2009,Canada,Female,75 years and older,1304453
2009,Manitoba,Male,11 years and younger,92408
2009,Manitoba,Male,12 to 17 years,51881
2009,Manitoba,Male,18 to 24 years,61555
2009,Manitoba,Male,25 to 44 years,159151
2009,Manitoba,Male,45 to 64 years,162526
2009,Manitoba,Male,65 to 74 years,39778
2009,Manitoba,Male,75 years and older,32414
2009,Manitoba,Total,11 years and younger,179928
2009,Manitoba,Total,12 to 17 years,102000
2009,Manitoba,Total,18 to 24 years,120994
2009,Manitoba,Total,25 to 44 years,316810
2009,Manitoba,Total,45 to 64 years,321589
2009,Manitoba,Total,65 to 74 years,83532
2009,Manitoba,Total,75 years and older,83442
2009,Manitoba,Female,11 years and younger,87520
2009,Manitoba,Female,12 to 17 years,50119
2009,Manitoba,Female,18 to 24 years,59439
2009,Manitoba,Female,25 to 44 years,157659
2009,Manitoba,Female,45 to 64 years,159063
2009,Manitoba,Female,65 to 74 years,43754
2009,Manitoba,Female,75 years and older,51028
2009,New Brunswick,Male,11 years and younger,45903
2009,New Brunswick,Male,12 to 17 years,27795
2009,New Brunswick,Male,18 to 24 years,34456
2009,New Brunswick,Male,25 to 44 years,97433
2009,New Brunswick,Male,45 to 64 years,113340
2009,New Brunswick,Male,65 to 74 years,30293
2009,New Brunswick,Male,75 years and older,20593
2009,New Brunswick,Total,11 years and younger,88976
2009,New Brunswick,Total,12 to 17 years,53839
2009,New Brunswick,Total,18 to 24 years,66495
2009,New Brunswick,Total,25 to 44 years,196034
2009,New Brunswick,Total,45 to 64 years,228767
2009,New Brunswick,Total,65 to 74 years,62619
2009,New Brunswick,Total,75 years and older,53082
2009,New Brunswick,Female,11 years and younger,43073
2009,New Brunswick,Female,12 to 17 years,26044
2009,New Brunswick,Female,18 to 24 years,32039
2009,New Brunswick,Female,25 to 44 years,98601
2009,New Brunswick,Female,45 to 64 years,115427
2009,New Brunswick,Female,65 to 74 years,32326
2009,New Brunswick,Female,75 years and older,32489
2009,Newfoundland and Labrador,Male,11 years and younger,30773
2009,Newfoundland and Labrador,Male,12 to 17 years,18227
2009,Newfoundland and Labrador,Male,18 to 24 years,23162
2009,Newfoundland and Labrador,Male,25 to 44 years,66919
2009,Newfoundland and Labrador,Male,45 to 64 years,80842
2009,Newfoundland and Labrador,Male,65 to 74 years,21492
2009,Newfoundland and Labrador,Male,75 years and older,12969
2009,Newfoundland and Labrador,Total,11 years and younger,60136
2009,Newfoundland and Labrador,Total,12 to 17 years,35696
2009,Newfoundland and Labrador,Total,18 to 24 years,45518
2009,Newfoundland and Labrador,Total,25 to 44 years,136719
2009,Newfoundland and Labrador,Total,45 to 64 years,162888
2009,Newfoundland and Labrador,Total,65 to 74 years,43920
2009,Newfoundland and Labrador,Total,75 years and older,31798
2009,Newfoundland and Labrador,Female,11 years and younger,29363
2009,Newfoundland and Labrador,Female,12 to 17 years,17469
2009,Newfoundland and Labrador,Female,18 to 24 years,22356
2009,Newfoundland and Labrador,Female,25 to 44 years,69800
2009,Newfoundland and Labrador,Female,45 to 64 years,82046
2009,Newfoundland and Labrador,Female,65 to 74 years,22428
2009,Newfoundland and Labrador,Female,75 years and older,18829
2009,Northwest Territories,Male,11 years and younger,3724
2009,Northwest Territories,Male,12 to 17 years,2140
2009,Northwest Territories,Male,18 to 24 years,2654
2009,Northwest Territories,Male,25 to 44 years,7020
2009,Northwest Territories,Male,45 to 64 years,5596
2009,Northwest Territories,Male,65 to 74 years,735
2009,Northwest Territories,Male,75 years and older,381
2009,Northwest Territories,Total,11 years and younger,7389
2009,Northwest Territories,Total,12 to 17 years,4158
2009,Northwest Territories,Total,18 to 24 years,5102
2009,Northwest Territories,Total,25 to 44 years,13776
2009,Northwest Territories,Total,45 to 64 years,10508
2009,Northwest Territories,Total,65 to 74 years,1429
2009,Northwest Territories,Total,75 years and older,806
2009,Northwest Territories,Female,11 years and younger,3665
2009,Northwest Territories,Female,12 to 17 years,2018
2009,Northwest Territories,Female,18 to 24 years,2448
2009,Northwest Territories,Female,25 to 44 years,6756
2009,Northwest Territories,Female,45 to 64 years,4912
2009,Northwest Territories,Female,65 to 74 years,694
2009,Northwest Territories,Female,75 years and older,425
2009,Nova Scotia,Male,11 years and younger,56074
2009,Nova Scotia,Male,12 to 17 years,34485
2009,Nova Scotia,Male,18 to 24 years,44466
2009,Nova Scotia,Male,25 to 44 years,118541
2009,Nova Scotia,Male,45 to 64 years,140451
2009,Nova Scotia,Male,65 to 74 years,38366
2009,Nova Scotia,Male,75 years and older,25719
2009,Nova Scotia,Total,11 years and younger,109292
2009,Nova Scotia,Total,12 to 17 years,67385
2009,Nova Scotia,Total,18 to 24 years,87441
2009,Nova Scotia,Total,25 to 44 years,241463
2009,Nova Scotia,Total,45 to 64 years,286084
2009,Nova Scotia,Total,65 to 74 years,79738
2009,Nova Scotia,Total,75 years and older,66667
2009,Nova Scotia,Female,11 years and younger,53218
2009,Nova Scotia,Female,12 to 17 years,32900
2009,Nova Scotia,Female,18 to 24 years,42975
2009,Nova Scotia,Female,25 to 44 years,122922
2009,Nova Scotia,Female,45 to 64 years,145633
2009,Nova Scotia,Female,65 to 74 years,41372
2009,Nova Scotia,Female,75 years and older,40948
2009,Nunavut,Male,11 years and younger,4347
2009,Nunavut,Male,12 to 17 years,2030
2009,Nunavut,Male,18 to 24 years,2275
2009,Nunavut,Male,25 to 44 years,4897
2009,Nunavut,Male,45 to 64 years,2832
2009,Nunavut,Male,65 to 74 years,381
2009,Nunavut,Male,75 years and older,123
2009,Nunavut,Total,11 years and younger,8455
2009,Nunavut,Total,12 to 17 years,4002
2009,Nunavut,Total,18 to 24 years,4385
2009,Nunavut,Total,25 to 44 years,9571
2009,Nunavut,Total,45 to 64 years,5216
2009,Nunavut,Total,65 to 74 years,711
2009,Nunavut,Total,75 years and older,264
2009,Nunavut,Female,11 years and younger,4108
2009,Nunavut,Female,12 to 17 years,1972
2009,Nunavut,Female,18 to 24 years,2110
2009,Nunavut,Female,25 to 44 years,4674
2009,Nunavut,Female,45 to 64 years,2384
2009,Nunavut,Female,65 to 74 years,330
2009,Nunavut,Female,75 years and older,141
2009,Ontario,Male,11 years and younger,886713
2009,Ontario,Male,12 to 17 years,521943
2009,Ontario,Male,18 to 24 years,634638
2009,Ontario,Male,25 to 44 years,1785052
2009,Ontario,Male,45 to 64 years,1780923
2009,Ontario,Male,65 to 74 years,446450
2009,Ontario,Male,75 years and older,334734
2009,Ontario,Total,11 years and younger,1727551
2009,Ontario,Total,12 to 17 years,1021179
2009,Ontario,Total,18 to 24 years,1254067
2009,Ontario,Total,25 to 44 years,3614471
2009,Ontario,Total,45 to 64 years,3598936
2009,Ontario,Total,65 to 74 years,945123
2009,Ontario,Total,75 years and older,835838
2009,Ontario,Female,11 years and younger,840838
2009,Ontario,Female,12 to 17 years,499236
2009,Ontario,Female,18 to 24 years,619429
2009,Ontario,Female,25 to 44 years,1829419
2009,Ontario,Female,45 to 64 years,1818013
2009,Ontario,Female,65 to 74 years,498673
2009,Ontario,Female,75 years and older,501104
2009,Prince Edward Island,Male,11 years and younger,9006
2009,Prince Edward Island,Male,12 to 17 years,5792
