REF_DATE,GEO,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,VALUE,,
2009/1/1,Canada,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,7.5,,
2009/1/1,Newfoundland and Labrador,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,14.8,,
2009/1/1,Prince Edward Island,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,12.2,,
2009/1/1,Nova Scotia,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.9,,
2009/1/1,New Brunswick,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.7,,
2009/1/1,Quebec,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.3,,
2009/1/1,Ontario,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.2,,
2009/1/1,Manitoba,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,4.9,,
2009/1/1,Saskatchewan,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,4.5,,
2009/1/1,Alberta,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,4.9,,
2009/1/1,British Columbia,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,6.6,,
2009/2/1,Canada,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.1,,
2009/2/1,Newfoundland and Labrador,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,15.9,,
2009/2/1,Prince Edward Island,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,13.1,,
2009/2/1,Nova Scotia,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.9,,
2009/2/1,New Brunswick,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,9,,
2009/2/1,Quebec,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.6,,
2009/2/1,Ontario,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.9,,
2009/2/1,Manitoba,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,5.4,,
2009/2/1,Saskatchewan,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,5,,
2009/2/1,Alberta,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,5.7,,
2009/2/1,British Columbia,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,7.1,,
2009/3/1,Canada,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,8.3,,
2009/3/1,Newfoundland and Labrador,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,14.8,,
2009/3/1,Prince Edward Island,Unemployment rate,Both sexes,15 years and over,Estimate,Seasonally adjusted,Percentage,12.5,,
